AGS,Municipality,Heat demand households [MWh],Heat demand CTS [MWh]
15001000,Dessau-Roßlau,564600,185869
15082005,Aken (Elbe),69293,5149
15082015,Bitterfeld-Wolfen,274941,64401
15082180,Köthen (Anhalt),184570,43520
15082241,Muldestausee,97377,9488
15082256,Osternienburger Land,74155,7038
15082301,Raguhn-Jeßnitz,80701,10351
15082340,Sandersdorf-Brehna,115050,13115
15082377,Südliches Anhalt,111048,18387
15082430,Zerbst/Anhalt,166584,24588
15082440,Zörbig,74430,14921
15091010,Annaburg,58476,7623
15091020,Bad Schmiedeberg,70408,9283
15091060,Coswig (Anhalt),100068,16148
15091110,Gräfenhainichen,94467,12356
15091145,Jessen (Elster),110480,16097
15091160,Kemberg,84992,10182
15091241,Oranienbaum-Wörlitz,71842,14087
15091375,Wittenberg,349316,79232
15091391,Zahna-Elster,79525,10838
